sku-product,product-name,price,in-stock,prod-weight
MCS-HALO H30G (2-PACK),MERCUSYS MESH WIFI ROUTER AC1300 DUAL BAND GIGABIT,"RM
                                        200.00",In Stock,Weight: 0.91kg
MCS-HALO H30G (3-PACK),MERCUSYS MESH WIFI ROUTER AC1300 DUAL BAND GIGABIT,"RM
                                        294.00",In Stock,Weight: 1.16kg
MCS-HALO H50G (1-PACK),MERCUSYS MESH WIFI ROUTER AC1900 DUAL BAND GIGABIT,"RM
                                        152.00",Out of Stock,Weight: 0.67kg
MCS-MR47BE,MERCUSYS MR47BE BE9300 TRI-BAND WIFI 7 ROUTER,"RM
                                        400.00",In Stock,Weight: 1.24kg
MCS-MS108GS,MERCUSYS MS108GS 8 PORT GIGABIT DESKTOP SWITCH (STEEL),"RM
                                        64.00",Out of Stock,Weight: 0.44kg
MCS-MT110,MERCUSYS MT110 150 MBPS 4G LTE MOBILE WIFI,"RM
                                        110.00",In Stock,Weight: 0.18kg
MCS-MT115,MERCUSYS MT115 150 MBPS 4G LTE MOBILE WIFI WITH TFT SCREEN DISPLAY,"RM
                                        121.00",,
MCS-MW300RE,MERCUSYS RANGE EXTENDER WIFI 300MBPS,"RM
                                        44.00",Out of Stock,Weight: 0.34kg
MCS-ME30,MERCUSYS RANGE EXTENDER WIFI AC1200 DUAL BAND,"RM
                                        73.00",In Stock,Weight: 0.34kg
MCS-MR30G,"MERCUSYS ROUTER AC1200 DUAL BAND WIRELESS GIGABIT, 4 X ANTENNA","RM
                                        86.00",Out of Stock,Weight: 0.69kg
MCS-MR60X,MERCUSYS ROUTER AX1500 DUAL BAND HIGH GAIN MU-MIMO WIRELESS GIGABIT (WIFI 6),"RM
                                        121.00",,
MCS-MR80X,MERCUSYS ROUTER AX3000 DUAL BAND HIGH GAIN MU-MIMO WIRELESS GIGABIT (WIFI 6),"RM
                                        162.00",In Stock,Weight: 1.32kg
MCS-MR90X,MERCUSYS ROUTER AX6000 DUAL BAND 8-STREAM HIGH GAIN WIRELESS GIGABIT (WIFI 6),"RM
                                        435.00",Out of Stock,Weight: 10.4kg
MCS-MR37BE,MERCUSYS ROUTER BE6500 TRI BAND WIFI 7,"RM
                                        322.00",,
MCS-MW325R,"MERCUSYS ROUTER N 300MBPS, 4 10/100M LAN, 4 FIXED ANTENNAS","RM
                                        54.00",Out of Stock,Weight: 0.86kg
MCS-MS105G,MERCUSYS SWITCH 5-PORT MINI DESKTOP GIGABIT,"RM
                                        38.00",In Stock,Weight: 0.2kg
MCS-MS108G,MERCUSYS SWITCH 8-PORT MINI DESKTOP GIGABIT,"RM
                                        56.00",In Stock,Weight: 0.28kg
MCS-MU6H,MERCUSYS USB ADAPTER WIRELESS DUAL BAND AC650 HIGH GAIN,"RM
                                        42.00",In Stock,Weight: 0.16kg
MCS-MW150US,"MERCUSYS USB ADAPTER WIRELESS N 150MBPS, NANO SIZE","RM
                                        13.80",In Stock,Weight: 0.09kg
MCS-MW300UM,"MERCUSYS USB ADAPTER WIRELESS N 300MBPS, MINI SIZE","RM
                                        18.50",In Stock,Weight: 0.06kg
